step,intersection_id,phase,total_queue_length,avg_waiting_time
61,INT_01,NS_GREEN,6,8.263157894736842
61,INT_02,NS_GREEN,0,4.619047619047619
62,INT_01,NS_GREEN,5,8.428571428571429
62,INT_02,NS_GREEN,0,4.619047619047619
63,INT_01,NS_GREEN,3,8.391304347826088
63,INT_02,NS_GREEN,0,4.619047619047619
64,INT_01,NS_GREEN,3,8.391304347826088
64,INT_02,NS_GREEN,1,4.619047619047619
65,INT_01,NS_GREEN,4,8.391304347826088
65,INT_02,NS_GREEN,1,4.619047619047619
66,INT_01,NS_GREEN,4,8.391304347826088
66,INT_02,NS_GREEN,2,4.619047619047619
67,INT_01,NS_GREEN,4,8.391304347826088
67,INT_02,NS_GREEN,2,4.619047619047619
68,INT_01,NS_GREEN,3,8.291666666666666
68,INT_02,NS_GREEN,2,4.619047619047619
69,INT_01,NS_GREEN,3,8.291666666666666
69,INT_02,NS_GREEN,3,4.619047619047619
70,INT_01,NS_GREEN,3,8.291666666666666
70,INT_02,EW_GREEN,2,4.590909090909091
71,INT_01,NS_GREEN,3,8.291666666666666
71,INT_02,EW_GREEN,0,4.583333333333333
72,INT_01,NS_GREEN,3,8.291666666666666
72,INT_02,EW_GREEN,0,4.583333333333333
73,INT_01,NS_GREEN,3,8.291666666666666
73,INT_02,EW_GREEN,0,4.583333333333333
74,INT_01,NS_GREEN,3,8.291666666666666
74,INT_02,EW_GREEN,0,4.583333333333333
75,INT_01,EW_GREEN,3,8.291666666666666
75,INT_02,EW_GREEN,0,4.583333333333333
76,INT_01,EW_GREEN,2,8.56
76,INT_02,EW_GREEN,0,4.583333333333333
77,INT_01,EW_GREEN,1,8.846153846153847
77,INT_02,EW_GREEN,0,4.583333333333333
78,INT_01,EW_GREEN,1,8.846153846153847
78,INT_02,EW_GREEN,0,4.583333333333333
79,INT_01,EW_GREEN,1,9.037037037037036
79,INT_02,EW_GREEN,1,4.583333333333333
80,INT_01,EW_GREEN,1,8.714285714285714
80,INT_02,NS_GREEN,1,4.44
81,INT_01,EW_GREEN,1,8.714285714285714
81,INT_02,NS_GREEN,2,4.44
82,INT_01,EW_GREEN,1,8.714285714285714
82,INT_02,NS_GREEN,1,4.346153846153846
83,INT_01,EW_GREEN,1,8.413793103448276
83,INT_02,NS_GREEN,1,4.185185185185185
84,INT_01,EW_GREEN,2,8.413793103448276
84,INT_02,NS_GREEN,1,4.185185185185185
85,INT_01,EW_GREEN,2,8.133333333333333
85,INT_02,NS_GREEN,1,4.185185185185185
86,INT_01,EW_GREEN,3,8.133333333333333
86,INT_02,NS_GREEN,1,4.185185185185185
87,INT_01,EW_GREEN,4,8.133333333333333
87,INT_02,NS_GREEN,1,4.185185185185185
88,INT_01,EW_GREEN,5,8.133333333333333
88,INT_02,NS_GREEN,1,4.185185185185185
89,INT_01,EW_GREEN,5,8.133333333333333
89,INT_02,NS_GREEN,1,4.185185185185185
90,INT_01,NS_GREEN,4,8.225806451612904
90,INT_02,EW_GREEN,1,4.206896551724138
91,INT_01,NS_GREEN,2,8.030303030303031
91,INT_02,EW_GREEN,0,4.1
92,INT_01,NS_GREEN,2,8.030303030303031
92,INT_02,EW_GREEN,2,4.1
93,INT_01,NS_GREEN,2,8.030303030303031
93,INT_02,EW_GREEN,1,4.0
94,INT_01,NS_GREEN,1,8.029411764705882
94,INT_02,EW_GREEN,1,4.0
95,INT_01,NS_GREEN,1,8.029411764705882
95,INT_02,EW_GREEN,2,4.0
96,INT_01,NS_GREEN,1,7.8
96,INT_02,EW_GREEN,2,4.0
97,INT_01,NS_GREEN,1,7.8
97,INT_02,EW_GREEN,2,4.0
98,INT_01,NS_GREEN,1,7.8
98,INT_02,EW_GREEN,2,4.0
99,INT_01,NS_GREEN,1,7.8
99,INT_02,EW_GREEN,2,4.0
100,INT_01,NS_GREEN,1,7.583333333333333
100,INT_02,NS_GREEN,2,4.125
101,INT_01,NS_GREEN,2,7.583333333333333
101,INT_02,NS_GREEN,1,4.181818181818182
102,INT_01,NS_GREEN,2,7.583333333333333
